05/06/2022 14:47:21

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,I want to discuss on the effect of vaping__-->utter_faq/effect-->utter_asking_if_user_need_more_help
affirm,/affirm__-->utter_vaping_details
faq,can you tell me on the type of treatment available?__-->utter_faq/type_of_treatment-->utter_asking_if_user_need_more_help
deny,/deny__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,/deny__-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 14:53:37

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,/faq/benefits_quitting_vaping__-->utter_faq/benefits_quitting_vaping-->utter_asking_if_user_need_more_help
affirm,yes__-->utter_vaping_details
faq,/faq/about_me__-->utter_faq/about_me-->utter_asking_if_user_need_more_help
deny,/deny__-->utter_end_of_conversation-->utter_feedback_confirmation
affirm,/affirm__-->utter_feedback_form-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 14:54:44

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
out_of_scope,dqewoiqweqw__
restart,/restart__-->utter_restart
affirm,/affirm__
greet,hi!__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,/faq/tips__-->utter_faq/
tips_on_quitting_vaping-->utter_asking_if_user_need_more_help
deny,/deny__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,/deny__-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 18:56:20

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,I want to know the effect of vaping__-->utter_faq/effect-->utter_asking_if_user_need_more_help
affirm,Yes__-->utter_vaping_details
nlu_fallback,I want to stop vaping. What can I do to stop vaping?__-->utter_fallback
faq,I need some encouragement to stop vaping.__-->utter_faq/encouragement-->utter_asking_if_user_need_more_help
affirm,Hell yeah__
restart,/restart__-->utter_restart
affirm,/affirm__
greet,Hi__-->utter_greet-->utter_make_choice-->utter_vaping_details
nlu_fallback,If I quit vaping, what is the advantage that I will get?__-->utter_fallback
faq,Who are you?__-->utter_faq/about_me-->utter_asking_if_user_need_more_help
affirm,Yeahhh__
restart,/restart__-->utter_restart
affirm,/affirm__
greet,Hello__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,I want to know the consequences of vaping__-->utter_faq/benefits_quitting_vaping-->utter_asking_if_user_need_more_help
deny,No__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,No__-->utter_thankyou-->utter_restart
affirm,Yes__-->utter_greet-->utter_make_choice-->utter_vaping_details
deny,No__
restart,/restart__-->utter_restart
deny,No__
restart,/restart__-->utter_restart
affirm,/affirm__
restart,/restart__-->utter_restart
affirm,/affirm__
greet,Hi__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,/faq/type_of_treatment__-->utter_faq/type_of_treatment-->utter_asking_if_user_need_more_help
deny,/deny__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,/deny__-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 21:39:53

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,can u explain on the type of treatment?ORG,u__-->utter_faq/type_of_treatment-->utter_asking_if_user_need_more_help
affirm,yea__-->utter_vaping_details
faq,/faq/encouragement__-->utter_faq/encouragement-->utter_asking_if_user_need_more_help
deny,nah__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,nope__-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 21:40:43

greet,/greet__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,Can I see the treatment available for vaping__-->utter_faq/type_of_treatment-->utter_asking_if_user_need_more_help
affirm,Yeah__-->utter_vaping_details
faq,What is the side effect of vaping__-->utter_faq/effect-->utter_asking_if_user_need_more_help
affirm,Sure__-->utter_vaping_details
faq,I want some advice to quit vaping__-->utter_faq/tips_on_quitting_vaping-->utter_asking_if_user_need_more_help
affirm,Hell yeah__-->utter_vaping_details
out_of_scope,Can I know you better?__
restart,/restart__-->utter_restart
affirm,/affirm__
greet,Hello__-->utter_greet-->utter_make_choice-->utter_vaping_details
faq,/faq/about_me__-->utter_faq/about_me-->utter_asking_if_user_need_more_help
deny,/deny__-->utter_end_of_conversation-->utter_feedback_confirmation
deny,/deny__-->utter_thankyou-->utter_restart
deny,/deny__-->utter_goodbye05/06/2022 21:57:05

